Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
950000	-29.06881	0	-29.06881	0.0920673	0.301653	0.183102	0.129843	0.198817	0.0830599	1.29514	0.963992	0.886839
960000	-21.77665	0	-21.77665	0.215756	0.282762	0.125495	0.050258	0.110965	0.118582	0.859834	1.1362	0.74577
970000	-25.95304	0	-25.95304	0.315403	0.262441	0.0880332	0.127988	0.0487356	0.198541	1.09426	1.8379	0.781631
980000	-21.55098	0	-21.55098	0.221409	0.261767	0.0592008	0.0946903	0.130463	0.154955	1.6387	1.28895	0.543906
990000	-23.76223	0	-23.76223	0.226198	0.218783	0.177393	0.0904943	0.145228	0.192138	1.73248	1.15727	0.685764
1000000	-21.24479	0	-21.24479	0.121152	0.235741	0.120517	0.0472649	0.21037	0.268265	0.937965	1.29815	0.791008
1010000	-23.06912	0	-23.06912	0.151381	0.177757	0.0672675	0.171469	0.257906	0.1514	1.13638	0.885871	0.782116
1020000	-29.20303	0	-29.20303	0.0761027	0.193518	0.128791	0.0724768	0.0440451	0.18135	1.06595	0.636784	1.98742
1030000	-33.32224	0	-33.32224	0.298767	0.150733	0.298253	0.185582	0.0790393	0.156962	1.24445	0.351803	0.70569
1040000	-22.84931	0	-22.84931	0.208586	0.276837	0.157273	0.107126	0.210835	0.185631	2.5179	0.972437	0.410601
1050000	-26.22041	0	-26.22041	0.318637	0.197213	0.124206	0.219889	0.23888	0.105668	0.730919	0.721449	0.486802
1060000	-35.87034	0	-35.87034	0.102117	0.193763	0.210302	0.161514	0.244944	0.101947	1.22268	0.659313	0.281458
1070000	-42.23081	0	-42.23081	0.155891	0.43247	0.189733	0.086622	0.438047	0.064466	0.761861	0.56721	0.530875
1080000	-29.10081	0	-29.10081	0.107884	0.248479	0.10795	0.136274	0.0552701	0.1431	1.22867	0.547065	1.89245
1090000	-26.30014	0	-26.30014	0.184362	0.120144	0.215474	0.0982509	0.160678	0.110699	1.35494	0.394372	0.703146
1100000	-29.96117	0	-29.96117	0.182183	0.227376	0.179905	0.193511	0.124585	0.212692	0.998981	0.678028	0.926444
1110000	-27.96333	0	-27.96333	0.368563	0.222437	0.222406	0.126617	0.272027	0.357008	1.24684	0.961465	1.25851
1120000	-27.79455	0	-27.79455	0.191615	0.176913	0.0728599	0.0420115	0.265128	0.121781	0.587714	1.49922	1.76853
1130000	-32.3759	0	-32.3759	0.151852	0.10801	0.254503	0.160408	0.136862	0.120152	1.47308	0.482939	0.556127
1140000	-28.16455	0	-28.16455	0.183724	0.271516	0.0912333	0.269917	0.0905696	0.185076	1.07984	0.278532	0.720607
1150000	-26.40564	0	-26.40564	0.138226	0.228129	0.0998143	0.108715	0.100933	0.0789421	0.463824	0.755659	0.474389
1160000	-28.09403	0	-28.09403	0.329348	0.14978	0.128924	0.0561789	0.082173	0.137922	0.752907	0.676549	0.750782
1170000	-29.67476	0	-29.67476	0.0867018	0.136258	0.197294	0.132483	0.166973	0.0542501	0.721698	0.542472	0.470423
1180000	-24.93412	0	-24.93412	0.0679326	0.298037	0.0416899	0.109829	0.0626621	0.160328	0.999113	1.06111	0.348566
1190000	-30.88844	0	-30.88844	0.117561	0.173307	0.103205	0.219809	0.139435	0.132068	1.26617	0.477817	0.493207
1200000	-24.4909	0	-24.4909	0.162855	0.0920059	0.175256	0.133803	0.20164	0.0852937	1.85013	0.6201	0.68205
1210000	-29.93237	0	-29.93237	0.0986605	0.258789	0.215072	0.123855	0.304604	0.135337	0.533132	0.5501	1.29301
1220000	-31.83358	0	-31.83358	0.128806	0.378874	0.109387	0.097092	0.22527	0.125268	1.36161	0.571047	1.04766
1230000	-25.86981	0	-25.86981	0.0914832	0.534188	0.107341	0.0906442	0.107955	0.210952	1.1404	0.465427	1.20432
1240000	-33.10449	0	-33.10449	0.20256	0.575315	0.236861	0.0758573	0.103287	0.286236	0.575684	0.822135	0.492509
