Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
1370000	-37.67116	0	-37.67116	0.180621	0.371744	0.0903619	0.228781	0.0557864	0.0476202	0.671863	1.88963	6.90717
1380000	-35.41357	0	-35.41357	0.149984	0.203295	0.269122	0.131744	0.123648	0.203863	0.0907703	0.564443	0.475409
1390000	-26.62323	0	-26.62323	0.177146	0.112016	0.168548	0.246393	0.169445	0.0709066	0.203357	1.17619	2.77854
1400000	-24.36688	0	-24.36688	0.191812	0.112292	0.150113	0.359231	0.156973	0.0901064	0.656534	1.21067	1.46888
1410000	-39.84583	0	-39.84583	0.138514	0.354551	0.0923937	0.133201	0.147792	0.286549	0.365635	0.693292	0.710236
1420000	-31.18588	0	-31.18588	0.240014	0.453817	0.079646	0.275513	0.171496	0.19929	0.800884	1.4163	4.61962
1430000	-30.74652	0	-30.74652	0.22229	0.148451	0.202275	0.520794	0.180516	0.0894257	0.867435	3.81712	0.534633
1440000	-33.27982	0	-33.27982	0.112304	0.170742	0.144006	0.10772	0.0844154	0.0834098	0.191234	0.978674	0.913255
1450000	-34.05508	0	-34.05508	0.118292	0.0982705	0.106536	0.44455	0.182259	0.0973264	0.269287	0.860174	0.228298
1460000	-29.9427	0	-29.9427	0.221277	0.167286	0.178399	0.213441	0.122072	0.0425206	0.352774	0.247281	1.12583
1470000	-30.5144	0	-30.5144	0.170863	0.279923	0.26884	0.183468	0.280068	0.315864	0.317536	1.07758	2.86603
1480000	-29.06051	0	-29.06051	0.171064	0.135698	0.165832	0.25925	0.135303	0.109573	0.59451	0.188838	4.65803
1490000	-30.70816	0	-30.70816	0.130659	0.300377	0.265942	0.160994	0.143443	0.0625716	0.487071	1.14981	1.71201
1500000	-26.93971	0	-26.93971	0.133223	0.119674	0.162842	0.184794	0.0958558	0.0521881	0.633198	1.7699	2.89134
1510000	-24.71371	0	-24.71371	0.0762289	0.187897	0.224798	0.264066	0.123383	0.156974	0.466615	1.02739	2.94756
1520000	-39.60599	0	-39.60599	0.0796281	0.0374557	0.213283	0.108124	0.0835978	0.133951	0.579526	0.327795	0.336433
1530000	-34.39943	0	-34.39943	0.200248	0.407137	0.142304	0.260953	0.159846	0.134334	0.507785	0.423521	0.523194
1540000	-33.96424	0	-33.96424	0.195751	0.102965	0.213069	0.327352	0.122421	0.166334	0.625861	0.425246	2.11116
1550000	-32.00699	0	-32.00699	0.164858	0.221548	0.097695	0.290873	0.0908891	0.120607	1.08404	0.361999	0.687073
1560000	-34.24231	0	-34.24231	0.101661	0.178429	0.105909	0.105664	0.229711	0.273619	0.465384	0.389633	1.96788
1570000	-36.33937	0	-36.33937	0.365682	0.234192	0.617629	0.183742	0.169326	0.124869	0.328059	1.45032	3.57475
1580000	-32.41786	0	-32.41786	0.142002	0.223103	0.0918274	0.239341	0.130652	0.124679	0.232578	0.382459	0.215823
1590000	-31.43197	0	-31.43197	0.0476116	0.28551	0.165202	0.296805	0.0769173	0.163891	0.54938	2.18732	2.06732
1600000	-29.26901	0	-29.26901	0.177661	0.213802	0.202559	0.141105	0.106004	0.133063	0.299117	1.60005	1.25687
1610000	-31.88285	0	-31.88285	0.0995987	0.196931	0.109512	0.16978	0.0957182	0.0552028	0.520199	0.383081	0.631336
1620000	-26.8171	0	-26.8171	0.119333	0.143512	0.101337	0.26013	0.120345	0.109764	1.60611	0.573979	3.45967
1630000	-29.01811	0	-29.01811	0.263968	0.3045	0.0981076	0.255737	0.0859835	0.114403	0.611269	1.28045	1.48066
1640000	-31.64661	0	-31.64661	0.10155	0.109901	0.49393	0.190698	0.138136	0.121819	0.485572	1.1546	0.815633
1650000	-32.90563	0	-32.90563	0.101639	0.203082	0.190669	0.283966	0.210045	0.142863	0.376794	0.236768	0.135313
1660000	-33.41726	0	-33.41726	0.191283	0.18148	0.13058	0.285376	0.121663	0.102321	0.270348	1.0559	2.85896
1670000	-39.15338	0	-39.15338	0.0917546	0.135972	0.219752	0.259584	0.0812397	0.0616576	0.0925768	0.400044	0.0600179
1680000	-35.66245	0	-35.66245	0.194927	0.12321	0.111701	0.224551	0.169117	0.120622	0.204425	0.554667	1.61878
1690000	-29.34991	0	-29.34991	0.147227	0.226878	0.155631	0.209846	0.241288	0.0912889	1.96294	0.458589	1.31096
1700000	-32.835	0	-32.835	0.0950513	0.089502	0.116942	0.329987	0.329046	0.131019	0.960807	0.946109	0.793058
1710000	-45.24217	0	-45.24217	0.0791216	0.125227	0.0715952	0.503893	0.0862653	0.17925	0.118669	2.06255	0.342966
1720000	-34.93865	0	-34.93865	0.0836036	0.382197	0.140411	0.296202	0.125597	0.252251	0.327725	0.219463	2.38781
1730000	-35.61088	0	-35.61088	0.0813632	0.163634	0.139242	0.369717	0.160707	0.205628	0.587677	0.0520367	5.0529
1740000	-26.4674	0	-26.4674	0.0894745	0.177933	0.0966441	0.217091	0.116633	0.0475006	0.159821	1.15229	1.18934
1750000	-38.46357	0	-38.46357	0.11218	0.3515	0.233986	0.293816	0.0986101	0.111511	0.0950845	0.23503	1.17426
1760000	-35.59128	0	-35.59128	0.0958376	0.240992	0.201974	0.363765	0.0649092	0.0778252	0.509314	0.301928	0.380703
1770000	-27.75947	0	-27.75947	0.249329	0.234562	0.191574	0.131425	0.149929	0.0673268	0.649023	1.45765	3.32309
1780000	-32.881	0	-32.881	0.179131	0.222054	0.0857832	0.308733	0.0593462	0.0542725	0.369148	0.837363	4.28123
1790000	-29.50255	0	-29.50255	0.0401392	0.11483	0.11599	0.264314	0.253004	0.195565	0.263109	3.90628	1.71234
1800000	-32.37851	0	-32.37851	0.185042	0.126074	0.150292	0.321341	0.0874166	0.0995406	0.0913464	0.143351	0.628382
1810000	-30.10806	0	-30.10806	0.2297	0.273423	0.200051	0.213962	0.178696	0.0929685	0.64083	1.12042	0.218713
1820000	-42.69183	0	-42.69183	0.210758	0.162584	0.255514	0.374941	0.321456	0.0855839	0.238516	1.12352	0.600786
1830000	-27.76355	0	-27.76355	0.140711	0.160896	0.154875	0.106212	0.149108	0.141082	0.234946	0.918749	2.94364
1840000	-28.41166	0	-28.41166	0.0512435	0.0955758	0.139596	0.12709	0.104235	0.138967	0.79883	1.84544	0.914567
1850000	-30.02543	0	-30.02543	0.0866387	0.442678	0.151543	0.365404	0.167138	0.0644015	1.30174	1.96224	0.334893
1860000	-31.93649	0	-31.93649	0.324383	0.23388	0.0991012	0.255287	0.0616536	0.148805	1.01417	0.395143	1.80064
1870000	-31.55999	0	-31.55999	0.268537	0.222043	0.225292	0.236758	0.112965	0.149283	0.453414	0.399758	1.88358
1880000	-27.47291	0	-27.47291	0.126466	0.174132	0.152361	0.175687	0.201605	0.0995096	0.317011	0.601907	3.11188
1890000	-36.61768	0	-36.61768	0.0759302	0.209306	0.145146	0.0778294	0.100955	0.0916525	0.533123	0.291221	0.132779
1900000	-35.61476	0	-35.61476	0.140417	0.116166	0.233667	0.241716	0.134919	0.122822	0.142617	0.0888526	0.409369
1910000	-31.59018	0	-31.59018	0.13998	0.13484	0.298763	0.275829	0.140743	0.027011	0.574994	2.8157	1.56185
1920000	-34.05348	0	-34.05348	0.363402	0.148983	0.163534	0.239759	0.117944	0.169946	0.199599	0.154479	0.742602
1930000	-28.53607	0	-28.53607	0.239146	0.124265	0.0986711	0.351154	0.097352	0.175695	0.297068	0.448525	0.709528
1940000	-28.24376	0	-28.24376	0.281304	0.101492	0.283607	0.547207	0.140112	0.129778	0.632959	0.447395	4.66143
