Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
1040000	-20.48964	0	-20.48964	0.196575	0.1152	0.165887	0.128588	0.0896278	0.183158	0.343717	0.761737	3.384
1050000	-18.29207	0	-18.29207	0.1088	0.22113	0.189077	0.455586	0.120357	0.0680593	2.94805	6.34817	0.938049
1060000	-20.85039	0	-20.85039	0.0858024	0.288616	0.0579231	0.148481	0.257698	0.12869	1.07948	3.9148	2.08396
1070000	-17.68351	0	-17.68351	0.0768745	0.325759	0.133678	0.449162	0.184628	0.0846066	1.55439	1.65188	2.78899
1080000	-16.15504	0	-16.15504	0.0656093	0.186084	0.166595	0.244068	0.115701	0.0956055	1.06249	1.01779	0.275938
1090000	-25.05977	0	-25.05977	0.111593	0.295247	0.238602	0.0714479	0.211859	0.0687232	2.65209	2.60881	2.35296
1100000	-17.72718	0	-17.72718	0.0537411	0.0745511	0.223863	0.370813	0.0464434	0.0798254	2.20798	1.77166	0.828646
1110000	-22.44901	0	-22.44901	0.0926687	0.208753	0.305833	0.47343	0.259748	0.0808	0.458776	2.32509	1.52519
1120000	-24.90622	0	-24.90622	0.133179	0.176067	0.284271	0.421424	0.140371	0.0666206	3.34925	1.2158	0.648522
1130000	-21.96476	0	-21.96476	0.214713	0.126154	0.172079	0.168128	0.175904	0.163739	1.67836	2.30276	0.772175
1140000	-21.28709	0	-21.28709	0.127915	0.213825	0.311393	0.175333	0.218681	0.153868	2.81419	1.8008	1.18504
1150000	-29.28172	0	-29.28172	0.0483137	0.0331825	0.227158	0.3084	0.0848233	0.134675	2.17539	1.98321	2.46036
1160000	-16.1999	0	-16.1999	0.0559964	0.0943837	0.18515	0.308833	0.23559	0.117965	1.49139	0.734665	1.43785
1170000	-14.91178	0	-14.91178	0.0743642	0.151763	0.125192	0.137233	0.17962	0.161503	1.685	2.08341	0.923408
1180000	-22.63904	0	-22.63904	0.0834438	0.0969596	0.175962	0.201755	0.171721	0.153686	0.423415	0.542849	0.41241
1190000	-22.3107	0	-22.3107	0.0872242	0.186936	0.0632095	0.488537	0.106187	0.267191	2.96802	0.58452	0.299356
1200000	-16.26328	0	-16.26328	0.130492	0.203205	0.0885669	0.291514	0.10204	0.0595052	0.856305	1.76031	1.99324
1210000	-16.17922	0	-16.17922	0.128379	0.353335	0.144754	0.243321	0.185994	0.148137	2.65788	2.31377	1.11544
1220000	-22.88909	0	-22.88909	0.0428756	0.0546842	0.199776	0.485546	0.118258	0.052898	1.9008	1.95123	0.67472
1230000	-25.30968	0	-25.30968	0.16649	0.290885	0.127463	0.305942	0.147261	0.10899	2.12742	1.5653	0.483057
1240000	-26.93215	0	-26.93215	0.22354	0.102021	0.129369	0.137295	0.185782	0.0933708	3.01057	0.256415	0.585057
1250000	-24.01695	0	-24.01695	0.176854	0.362721	0.0915403	0.43737	0.206494	0.227579	2.48317	2.48439	0.962708
