Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]
1250000	-48.98423	0	-48.98423	0.14258	0.330734	0.21107	0.354319	0.182378	0.0946467
1260000	-45.81349	0	-45.81349	0.30862	0.331621	0.064991	0.415507	0.129281	0.0878238
1270000	-49.24494	0	-49.24494	0.185358	0.321603	0.248513	0.463342	0.206313	0.10429
1280000	-47.83504	0	-47.83504	0.419068	0.24942	0.0739954	0.365057	0.110011	0.0951187
1290000	-45.26008	0	-45.26008	0.10427	0.366818	0.173551	0.278279	0.0582693	0.150133
1300000	-51.22932	0	-51.22932	0.133212	0.115492	0.156741	0.581183	0.123482	0.199435
1310000	-53.01498	0	-53.01498	0.308555	0.639723	0.175493	0.455759	0.0949846	0.196764
1320000	-50.62453	0	-50.62453	0.114155	0.256162	0.22472	0.152982	0.0954759	0.147331
1330000	-45.38121	0	-45.38121	0.271832	0.459837	0.191245	0.325192	0.136586	0.0996054
1340000	-50.46543	0	-50.46543	0.22627	0.30493	0.248739	0.295637	0.116562	0.0946887
1350000	-49.26287	0	-49.26287	0.236414	0.279029	0.19498	0.185482	0.101937	0.0825182
1360000	-50.10678	0	-50.10678	0.158915	0.163403	0.106697	0.271112	0.0901728	0.147593
1370000	-48.77185	0	-48.77185	0.165199	0.248521	0.240018	0.318731	0.126552	0.0578013
1380000	-44.72252	0	-44.72252	0.130309	0.386813	0.111253	0.436055	0.082645	0.13151
1390000	-50.78088	0	-50.78088	0.132056	0.242578	0.204839	0.250307	0.105634	0.253197
1400000	-49.16928	0	-49.16928	0.295056	0.640686	0.109294	0.209188	0.214446	0.0821446
1410000	-49.87134	0	-49.87134	0.0375096	0.508683	0.144988	0.396824	0.0704265	0.107069
1420000	-53.70626	0	-53.70626	0.303886	0.17851	0.173652	0.303996	0.209764	0.1426
1430000	-48.76164	0	-48.76164	0.0773615	0.383091	0.265187	0.222924	0.0660753	0.212034
1440000	-49.49941	0	-49.49941	0.236264	0.40852	0.340364	0.329458	0.119623	0.143595
1450000	-51.06327	0	-51.06327	0.166699	0.6736	0.139934	0.295295	0.0932679	0.0815743
1460000	-47.97985	0	-47.97985	0.203545	0.607474	0.0464321	0.56171	0.11524	0.0920571
1470000	-49.3473	0	-49.3473	0.173352	0.259755	0.0502943	0.33241	0.109341	0.0942585
1480000	-50.56295	0	-50.56295	0.188866	0.258954	0.371146	0.335421	0.206437	0.0735552
1490000	-54.10321	0	-54.10321	0.340163	0.171661	0.523064	0.282895	0.125265	0.110598
1500000	-46.48561	0	-46.48561	0.317508	0.479347	0.140638	0.43521	0.135962	0.102821
1510000	-47.79513	0	-47.79513	0.25924	0.220126	0.193098	0.232197	0.0642119	0.12045
1520000	-51.10522	0	-51.10522	0.0870888	0.351711	0.212936	0.411756	0.285328	0.126502
1530000	-53.31287	0	-53.31287	0.172443	0.421815	0.252905	0.230616	0.145838	0.0590612
1540000	-46.93647	0	-46.93647	0.0948651	0.335261	0.146326	0.381706	0.155989	0.0969101
1550000	-51.06269	0	-51.06269	0.1499	0.218819	0.287178	0.16477	0.0551837	0.0974963
1560000	-47.02064	0	-47.02064	0.0740232	0.60647	0.147729	0.30934	0.086675	0.146977
1570000	-49.37903	0	-49.37903	0.177553	0.474027	0.205533	0.167121	0.156791	0.241838
1580000	-44.55567	0	-44.55567	0.172191	0.219477	0.108202	0.250284	0.0854576	0.168712
1590000	-52.98816	0	-52.98816	0.159847	0.306902	0.354434	0.434175	0.106526	0.110986
1600000	-47.37317	0	-47.37317	0.0820869	0.367815	0.219239	0.358481	0.085027	0.0426342
1610000	-54.41623	0	-54.41623	0.195199	0.218679	0.288414	0.169594	0.100523	0.0685541
1620000	-48.98881	0	-48.98881	0.143358	0.329559	0.188768	0.325903	0.132359	0.16097
1630000	-51.27135	0	-51.27135	0.191794	0.508351	0.165014	0.430172	0.0771908	0.30993
1640000	-50.00092	0	-50.00092	0.102536	0.332339	0.0774035	0.497107	0.214453	0.191975
1650000	-46.20266	0	-46.20266	0.269971	0.353801	0.109608	0.395827	0.120212	0.146943
1660000	-51.79155	0	-51.79155	0.211285	0.375402	0.0771214	0.249231	0.07304	0.245363
1670000	-52.69484	0	-52.69484	0.0663419	0.20041	0.253393	0.447125	0.183321	0.258646
1680000	-47.93767	0	-47.93767	0.285978	0.30024	0.163281	0.326746	0.0844538	0.0782749
1690000	-48.92128	0	-48.92128	0.153431	0.313373	0.113295	0.500125	0.158395	0.0614539
1700000	-54.09988	0	-54.09988	0.403322	0.301919	0.129085	0.204562	0.148369	0.1077
1710000	-49.56204	0	-49.56204	0.199615	0.177238	0.122229	0.215977	0.0904053	0.128406
1720000	-50.86696	0	-50.86696	0.121363	0.303611	0.314474	0.220903	0.20211	0.0593342
1730000	-46.49756	0	-46.49756	0.0626579	0.63171	0.216325	0.28786	0.128761	0.128284
1740000	-46.94453	0	-46.94453	0.16644	0.71077	0.0846248	0.356555	0.127884	0.124261
1750000	-47.3029	0	-47.3029	0.230874	0.267214	0.113613	0.1447	0.0563678	0.0811304
1760000	-47.14639	0	-47.14639	0.197419	0.421972	0.0982341	0.320399	0.0757765	0.0955229
1770000	-50.77105	0	-50.77105	0.135394	0.607325	0.229549	0.303335	0.0760638	0.115657
1780000	-54.09904	0	-54.09904	0.143473	0.187602	0.346135	0.397639	0.198842	0.0769709
1790000	-53.92992	0	-53.92992	0.135649	0.279911	0.205302	0.346242	0.0622942	0.1196
1800000	-49.98383	0	-49.98383	0.266648	0.258206	0.109207	0.451343	0.0996921	0.114083
1810000	-54.98479	0	-54.98479	0.0632847	0.179932	0.224364	0.419846	0.178661	0.136179
1820000	-44.38959	0	-44.38959	0.111641	0.41256	0.074644	0.248571	0.142149	0.0673698
1830000	-47.91446	0	-47.91446	0.130569	0.733025	0.0677398	0.147253	0.154943	0.149087
1840000	-52.70373	0	-52.70373	0.0662667	0.229571	0.744053	0.345399	0.0660282	0.0704887
1850000	-51.37501	0	-51.37501	0.0623527	0.421479	0.121841	0.484424	0.0891052	0.354604
1860000	-53.86226	0	-53.86226	0.297089	0.379767	0.299404	0.247806	0.0813893	0.107223
1870000	-49.86972	0	-49.86972	0.13357	0.35387	0.230521	0.218673	0.132073	0.211915
1880000	-46.77155	0	-46.77155	0.199613	0.438705	0.123042	0.489933	0.117922	0.100375
1890000	-50.56166	0	-50.56166	0.137527	0.262769	0.257207	0.195095	0.161055	0.190558
1900000	-45.7304	0	-45.7304	0.165113	0.331006	0.121595	0.246634	0.172117	0.198742
1910000	-47.10199	0	-47.10199	0.10247	0.434574	0.0662051	0.593712	0.097938	0.0714539
1920000	-45.87327	0	-45.87327	0.110305	0.199306	0.156318	0.22456	0.108211	0.0626743
1930000	-48.20481	0	-48.20481	0.141653	0.340849	0.133299	0.32668	0.0723361	0.169327
1940000	-47.26017	0	-47.26017	0.162406	0.464357	0.195225	0.41789	0.0808955	0.128828
1950000	-49.50127	0	-49.50127	0.104988	0.303728	0.114682	0.3953	0.201535	0.267643
1960000	-49.17818	0	-49.17818	0.0904897	0.641964	0.0881044	0.317111	0.273946	0.112687
1970000	-55.90372	0	-55.90372	0.244042	0.640578	0.30258	0.299289	0.169691	0.12567
1980000	-48.84958	0	-48.84958	0.280746	0.141445	0.266722	0.397309	0.0628723	0.202164
1990000	-52.88173	0	-52.88173	0.478482	0.232136	0.198113	0.240129	0.223822	0.0497257
2000000	-48.20355	0	-48.20355	0.125047	0.116526	0.17862	0.238858	0.191219	0.149824
2010000	-47.43001	0	-47.43001	0.316485	0.29595	0.107398	0.290138	0.0558836	0.124002
2020000	-48.35793	0	-48.35793	0.179931	0.514859	0.103099	0.434545	0.0853744	0.067583
2030000	-47.51591	0	-47.51591	0.289407	0.341441	0.171969	0.22198	0.150037	0.161233
2040000	-53.75533	0	-53.75533	0.208821	0.344579	0.399212	0.346589	0.24878	0.107167
2050000	-46.26068	0	-46.26068	0.169242	0.594983	0.14826	0.23823	0.0930299	0.188103
2060000	-45.78333	0	-45.78333	0.164405	0.284837	0.15952	0.237231	0.116109	0.0501375
2070000	-49.61663	0	-49.61663	0.247365	0.157425	0.288093	0.189602	0.108492	0.108022
2080000	-49.04769	0	-49.04769	0.207221	0.436584	0.139343	0.0941549	0.0561354	0.092274
2090000	-50.37671	0	-50.37671	0.194344	0.505768	0.191033	0.401309	0.144904	0.225895
2100000	-49.34141	0	-49.34141	0.246528	0.325667	0.0970096	0.353864	0.0989304	0.208112
2110000	-45.98275	0	-45.98275	0.213543	0.431016	0.0853573	0.320559	0.137333	0.0997019
2120000	-51.44847	0	-51.44847	0.296949	0.380196	0.277435	0.267336	0.18201	0.0581968
2130000	-55.45633	0	-55.45633	0.551733	0.242421	0.244906	0.711075	0.135419	0.0639211
2140000	-48.49247	0	-48.49247	0.0792648	0.637603	0.152127	0.158499	0.0963931	0.163534
2150000	-52.69443	0	-52.69443	0.165293	0.26701	0.142762	0.500756	0.177358	0.0908494
2160000	-50.65324	0	-50.65324	0.258304	0.215809	0.397771	0.312281	0.221061	0.153061
2170000	-45.66819	0	-45.66819	0.132753	0.29359	0.110879	0.405967	0.0967533	0.122325
2180000	-56.61063	0	-56.61063	0.18494	0.615667	0.255631	0.68688	0.0580211	0.324297
2190000	-48.58109	0	-48.58109	0.110399	0.355533	0.103264	0.507418	0.100842	0.0982763
2200000	-56.03388	0	-56.03388	0.151335	0.602422	0.557557	0.268104	0.28567	0.122764
2210000	-51.6575	0	-51.6575	0.326955	0.281458	0.0805287	0.241711	0.120792	0.0806379
2220000	-48.88194	0	-48.88194	0.173497	0.26796	0.142201	0.565832	0.135294	0.113918
2230000	-50.18969	0	-50.18969	0.139926	0.56259	0.0324188	0.356904	0.146738	0.111744
2240000	-51.53565	0	-51.53565	0.405823	0.20823	0.387766	0.328206	0.101251	0.052795
2250000	-53.86385	0	-53.86385	0.190312	0.309883	0.460512	0.413759	0.0360312	0.068922
2260000	-45.46769	0	-45.46769	0.118855	0.194818	0.161165	0.279274	0.0853417	0.155189
2270000	-47.89602	0	-47.89602	0.0742016	0.654954	0.142653	0.255745	0.0581655	0.083822
2280000	-46.40437	0	-46.40437	0.0686624	0.503356	0.200472	0.302287	0.0698147	0.119641
2290000	-50.33866	0	-50.33866	0.272384	0.862968	0.210749	0.379775	0.0540994	0.119305
2300000	-50.02864	0	-50.02864	0.244501	0.700714	0.239906	0.192174	0.0638604	0.0778531
2310000	-53.81277	0	-53.81277	0.249437	0.624063	0.279269	0.388564	0.190114	0.243664
2320000	-48.89181	0	-48.89181	0.152395	0.164476	0.26914	0.365845	0.0684453	0.0636373
2330000	-52.73917	0	-52.73917	0.405437	0.111162	0.316858	0.163482	0.167823	0.151974
2340000	-52.747	0	-52.747	0.242097	0.210591	0.305307	0.453512	0.133606	0.0605582
2350000	-45.92903	0	-45.92903	0.119436	0.303919	0.161684	0.290093	0.168045	0.120797
2360000	-50.79744	0	-50.79744	0.177599	0.322198	0.0960023	0.329867	0.103729	0.305818
2370000	-49.14004	0	-49.14004	0.102637	1.03902	0.0869885	0.228606	0.182029	0.101161
2380000	-46.37423	0	-46.37423	0.148151	0.567852	0.154469	0.267918	0.177947	0.133763
2390000	-45.6493	0	-45.6493	0.15388	0.459857	0.117453	0.389374	0.0616485	0.0684373
2400000	-48.15374	0	-48.15374	0.259972	0.439771	0.152983	0.269081	0.0932768	0.078452
2410000	-51.95169	0	-51.95169	0.198026	0.328206	0.140456	0.271804	0.139224	0.31505
2420000	-48.93179	0	-48.93179	0.131671	0.52667	0.22813	0.253546	0.0862657	0.141606
2430000	-52.6194	0	-52.6194	0.254005	0.579425	0.129486	0.427781	0.0879251	0.228278
2440000	-45.78743	0	-45.78743	0.11972	0.420092	0.0980145	0.249578	0.0821802	0.0654835
2450000	-49.00157	0	-49.00157	0.256211	0.154797	0.159603	0.220476	0.0927511	0.0666519
2460000	-46.91513	0	-46.91513	0.109347	0.19995	0.228333	0.239675	0.0712138	0.141126
2470000	-46.91694	0	-46.91694	0.21975	0.58817	0.12953	0.271078	0.103587	0.0764786
2480000	-52.09881	0	-52.09881	0.245275	0.343846	0.15911	0.621171	0.107604	0.0815507
2490000	-46.85115	0	-46.85115	0.122766	0.572417	0.101301	0.355889	0.0945733	0.183597
2500000	-48.66464	0	-48.66464	0.106471	0.185631	0.100825	0.333982	0.107829	0.151044
2510000	-51.38435	0	-51.38435	0.0806432	0.694676	0.274915	0.722335	0.0895635	0.108982
2520000	-52.20981	0	-52.20981	0.221624	0.220327	0.321571	0.246419	0.18264	0.136393
2530000	-48.39841	0	-48.39841	0.158114	0.386001	0.0942494	0.47275	0.0879172	0.101902
2540000	-49.16107	0	-49.16107	0.162903	0.21475	0.182178	0.387158	0.239803	0.0488825
2550000	-44.63656	0	-44.63656	0.129336	0.534649	0.219942	0.320461	0.0522333	0.170456
2560000	-48.75528	0	-48.75528	0.181064	0.313332	0.0290192	0.227051	0.0561054	0.118911
2570000	-47.94574	0	-47.94574	0.133363	0.215114	0.12856	0.374125	0.19565	0.180619
2580000	-51.0733	0	-51.0733	0.282896	0.355911	0.220444	0.698063	0.154949	0.146546
2590000	-48.33121	0	-48.33121	0.29746	0.366845	0.257278	0.17588	0.116719	0.0890098
2600000	-46.56036	0	-46.56036	0.0476348	0.344154	0.103283	0.279291	0.0822999	0.0809982
2610000	-55.4448	0	-55.4448	0.15164	0.795671	0.253416	0.609178	0.0801904	0.244203
2620000	-46.99134	0	-46.99134	0.144035	0.365276	0.136306	0.344369	0.152903	0.137601
2630000	-52.24466	0	-52.24466	0.431905	0.29784	0.133209	0.272178	0.0991577	0.338349
2640000	-44.20534	0	-44.20534	0.192414	0.434969	0.0848893	0.367883	0.103584	0.0851285
2650000	-51.11218	0	-51.11218	0.0891401	0.422822	0.209245	0.329356	0.240684	0.102925
2660000	-50.70297	0	-50.70297	0.182661	0.410045	0.153895	0.345894	0.175888	0.149418
2670000	-48.84014	0	-48.84014	0.191612	0.146786	0.172427	0.35548	0.0548473	0.0921616
2680000	-54.22246	0	-54.22246	0.246629	0.22274	0.133167	0.447456	0.0982408	0.163791
